лошадь	кобыла
расчет	вычисление
побережье	берег
жидкость	вода
чемпионат	турнир
тигр	тигр
поездка	путешествие
тип	вид
футбол	мини-футбол
марафон	спринт
король	королева
миля	километр
улица	проспект
убийство	кровопролитие
деньги	валюта
чашка	посуда
морепродукт	омар
алюминий	металл
деньги	наличные
птица	журавль
водка	джин
птица	петух
тигр	кошка
тигр	ягуар
ягуар	кошка
омар	еда
лес	лесопарк
еда	фрукт
тигр	кошачьи
век	год
улица	квартал
доллар	йена
мексика	бразилия
мобильный	телефон
деньги	доллар
морепродукт	еда
водка	бренди
камень	драгоценность
тигр	хищник
тигр	млекопитающее
психология	дисциплина
психология	наука
планета	звезда
доктор	медсестра
студент	профессор
напиток	пища
тигр	животное
тигр	фауна
ливень	гроза
день	полдень
сми	радио
огурец	картофель
футбол	теннис
мужчина	женщина
король	ладья
психология	психиатрия
доктор	персонал
дивиденд	выплата
зритель	сериал
объявление	новости
печь	плита
епископ	раввин
планета	луна
планета	солнце
рок	джаз
жизнь	смерть
ягуар	автомобиль
прибыль	убыток
стекло	металл
прецедент	пример
физика	химия
музей	театр
телевидение	радио
прецедент	познание
хлеб	масло
профессор	доктор
улица	место
чашка	предмет
поезд	машина
телефон	оборудование
блядь	секс
гарвард	йель
больница	инфраструктура
самолет	машина
японец	американец
футбол	баскетбол
чашка	еда
умник	глупец
тигр	организм
чашка	вещь
потребитель	энергия
парень	брат
монах	оракул
начало	год
побережье	лес
умник	студент
министерство	культура
жизнь	срок
прецедент	предшественник
еда	петушок
передвижение	деятельность
цель	жизнь
театр	история
мораль	важность
чашка	объект
кожа	глаз
улица	дети
потребитель	доверие
мораль	брак
деньги	операция
журавль	приспособление
начало	матч
компьютер	новости
приют	дурдом
опера	выступление
изображение	поверхность
шанс	доверие
развитие	вопрос
ситуация	заключение
сми	торговля
расследование	усилие
прецедент	информация
омар	вино
космос	химия
побережье	холм
мир	атмосфера
атмосфера	пейзаж
отчет	выгода
школа	центр
губернатор	интервью
берег	лесопарк
святой	секс
мужчина	губернатор
направление	сочетание
слово	сходство
монах	раб
задержка	новости
возможность	девушка
кладбище	лесопарк
президент	медаль
парень	волшебник
чашка	артефакт
архитектура	век
мир	страхование
чашка	вещество
меньшинство	мир
марс	вода
доброволец	девиз
наблюдение	архитектура
век	нация
король	капуста
журнал	ассоциация
фонд	ягуар
мир	план
запас	жизнь
фонд	телефон
ситуация	изоляция
население	развитие
музыка	проект
объявление	производство
предубеждение	признание
объявление	усилие
перечисление	близость
cреда	новости
профессор	огурец
развертывание	отход
ориентир	индекс
прибыль	предупреждение
семь	серия
опыт	музыка
опера	отрасль
месяц	отель
энергия	секретарь
напиток	ухо
задержка	расизм
напиток	машина
практика	учреждение
фонд	cd
сахар	подход
лес	погост
машина	полет
доска	рекомендация
попытка	мир
пять	месяц
прецедент	группа
производство	поход
сми	выгода
линия	страхование
напиток	мать
прецедент	сбор
подписать	перерыв
проблема	аэропорт
причина	гипертония
стекло	маг
фонд	яйцо
арафат	джексон
петушок	путешествие
полдень	веревка
шнур	улыбка
